x,y
2.1,5.4
3.5,11.3
5.7,36.9
7.8,70.2
10.2,140.7
12.5,213.6
15.9,391.2
17.2,493.8
19.6,630.9
22.4,841.7
24.7,1046.3
26.9,1257.8
29.3,1557.5
32.1,1953.2
34.4,2349.8
37.2,2862.5
39.8,3387.2
42.5,3951.3
44.9,4570.8
47.6,5235.7
50.3,5984.3
52.7,6739.1
55.1,7541.7
57.8,8470.2
60.2,9415.4
62.9,10486.2
65.5,11675.8
68.2,12997.2
70.9,14460.3
73.4,16032.1
75.8,17741.9
78.3,19558.6
80.7,21503.4
83.2,23605.2
85.6,25835.6
88.1,28216.1
90.7,30779.3
93.4,33519.8
95.8,36448.1
98.2,39581.3
100.5,42934.2
103.2,46525.6
105.8,50385.1
108.3,54535.3
110.7,58994.7
113.1,63793.2
115.5,68961.3
118.2,74525.9
120.5,80489.6
123.1,86891.5
